configuration_id,TARGET_CLASS,criterion,Size,Length,MutationScore
Branch,com.sonos.services._1_1.Sonos,BRANCH,6,16,1.0
Branch,com.sonos.services._1_1.CustomFault,BRANCH,4,8,1.0
Branch,com.sonos.services._1.ReorderContainer,BRANCH,8,16,0.2727272727272727
Branch,com.sonos.services._1.ActionType,BRANCH,3,4,0.6153846153846154
Branch,com.sonos.services._1.AppLinkInfo,BRANCH,12,24,0.0
Branch,com.sonos.services._1.CreateItemResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.RenameContainerResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.GetMetadata,BRANCH,8,16,0.4
Branch,com.sonos.services._1.OpenUrlAction,BRANCH,2,4,0.0
Branch,com.sonos.services._1.TagsData,BRANCH,4,10,0.0
Branch,com.sonos.services._1.SegmentMetadata,BRANCH,46,92,0.0076045627376425855
Branch,com.sonos.services._1.ReorderContainerResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.MediaMetadata,BRANCH,10,22,0.0
Branch,com.sonos.services._1.MediaList,BRANCH,9,20,0.7142857142857143
Branch,com.sonos.services._1.Algorithm,BRANCH,3,4,0.3333333333333333
Branch,com.sonos.services._1.GetExtendedMetadataText,BRANCH,4,8,0.0
Branch,com.sonos.services._1.AddToContainerResult,BRANCH,2,4,0.0
Branch,com.sonos.services._1.RateItem,BRANCH,4,8,0.75
Branch,com.sonos.services._1.RateItemResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.ItemType,BRANCH,3,4,0.8888888888888888
Branch,com.sonos.services._1.GetAppLink,BRANCH,10,20,0.0
Branch,com.sonos.services._1.HttpHeader,BRANCH,4,8,0.0
Branch,com.sonos.services._1.Property,BRANCH,4,8,0.0
Branch,com.sonos.services._1.GetExtendedMetadataTextResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.GetStreamingMetadata,BRANCH,6,12,0.4444444444444444
Branch,com.sonos.services._1.GetSessionIdResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.ReportStatusResponse,BRANCH,1,1,1.0
Branch,com.sonos.services._1.GetScrollIndices,BRANCH,2,4,0.0
Branch,com.sonos.services._1.DeviceLinkCodeResult,BRANCH,8,16,0.1
Branch,com.sonos.services._1.CreateContainerResponse,BRANCH,2,5,0.0
Branch,com.sonos.services._1.SimpleHttpRequestAction,BRANCH,8,18,0.0
Branch,com.sonos.services._1.GetStreamingMetadataResponse,BRANCH,2,5,0.0
Branch,com.sonos.services._1.GetDeviceLinkCodeResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.SetPlayedSeconds,BRANCH,10,20,0.2608695652173913
Branch,com.sonos.services._1.GetContentKeyResponse,BRANCH,2,5,0.0
Branch,com.sonos.services._1.Context,BRANCH,3,7,0.5
Branch,com.sonos.services._1.AddToContainer,BRANCH,8,16,0.2727272727272727
Branch,com.sonos.services._1.GetMetadataResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.Search,BRANCH,8,16,0.4583333333333333
Branch,com.sonos.services._1.SearchResponse,BRANCH,2,4,0.0
Branch,com.sonos.services._1.DeleteContainerResult,BRANCH,1,1,1.0
Branch,com.sonos.services._1.ObjectFactory,BRANCH,115,232,1.0
Branch,com.sonos.services._1.RemoveFromContainerResult,BRANCH,2,4,0.0
Branch,com.sonos.services._1.DeleteItemResponse,BRANCH,1,1,1.0
Branch,com.sonos.services._1.GetLastUpdateResponse,BRANCH,2,4,0.0
